Название (App Store),Комментарий,App ID,Bundle ID,Разработчик,Версия,Мин. iOS,iOS,iPadOS,Размер (МБ),Добавлено,RU,TR,IN,US,KZ,AM,AZ,BY,KG,TJ,TM,UA,UZ,DE,EE,FR,IT,LT,LV,PL,HK,CN,TW,BR,CA,GE,IL,JP,ZA
WB Chat,,6747973915,ru.wildberries.wbworkspace,WB FZE,1.18.0,18.0,✓,✓,171.9,27.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓
WB Drive,,1641368376,com.wildberries.WB-Drive,Wildberries OOO,6.0.3,15.6,✓,✓,155.5,28.08.2026,✓,✗,✗,✗,✓,✓,✗,✓,✓,✓,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
WB Go,,1665887343,ru.wildberries.wildberriesgo,Wildberries OOO,3.3.0,15.5,✓,✓,61.0,28.08.2026,✓,✗,✗,✗,✗,✓,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
WB Job,,1499529976,ru.wildberries.WBTeam,Wildberries OOO,5.104.0,15.0,✓,✓,169.1,28.08.2026,✓,✗,✗,✗,✓,✓,✗,✓,✓,✓,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
WB Partners,,1661093227,RU.WILDBERRIES.MOBILEAPP.WBPartners,Wildberries OOO,2.41.0,16.0,✓,✓,480.9,28.08.2026,✓,✗,✗,✗,✓,✓,✗,✓,✓,✓,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
WB Point,,1528507238,RU.WILDBERRIES.APPPOINT,Wildberries OOO,3.63.0,15.5,✓,✓,53.8,28.08.2026,✓,✗,✗,✗,✓,✓,✗,✓,✓,✓,✓,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
WB Stream,,1645878877,com.wildberries.wbstream,Wildberries OOO,5.7.1,15.6,✓,✓,79.5,28.08.2026,✓,✗,✗,✗,✓,✓,✓,✓,✓,✓,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✓,✗,✗
WB TAXI: сервис заказа такси,,6755240054,uz.wildberries.taxi.client,WB FZE,1.0.21,16.0,✓,✓,165.5,28.08.2026,✓,✗,✗,✗,✓,✗,✗,✓,✓,✗,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
WB Travel,,1507759014,RU.WILDBERRIES.TRAVEL,Wildberries OOO,4.2.0,15.0,✓,✓,98.8,28.08.2026,✓,✓,✗,✗,✓,✓,✓,✓,✓,✓,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✓,✗,✗,✗
WB Книги,,6739949061,ru.wildberries.wbbooks,WB FZE,3.1.0,17.0,✓,✓,143.0,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓
WB Курьер,,6444680258,com.wb.courierClient,Wildberries OOO,3.8.0,16.0,✓,✓,223.6,28.08.2026,✓,✗,✗,✗,✓,✓,✗,✓,✓,✗,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
WB на Связи,,1573234597,ru.wildberries.WBConsultation,Wildberries OOO,3.1.25,14.0,✓,✓,112.5,28.08.2026,✓,✗,✗,✗,✓,✓,✗,✓,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
WB ПВЗ,,6745411712,com.pvz.mobile,WB FZE,0.35.1,15.6,✓,✓,232.3,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
"Wibes: видео, тренды и шопинг",,6739610878,com.wildberries.WibeProd,Wildberries OOO,1.55.0,16.0,✓,✓,174.8,28.08.2026,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✗,✓,✓,✗,✗,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓
WILDBERRIES,,597880187,RU.WILDBERRIES.MOBILEAPP,Wildberries OOO,7.8.0001,15.0,✓,✓,656.4,27.08.2026,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✗,✓,✓,✗,✓,✓,✗,✗,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓
X5 Future Night,,6498632658,ru.x5.futurenight,X5 Retail Group,9.7.1,14.0,✓,✓,191.2,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
X5 Jobs: найти вакансии рядом,,6756025925,ru.x5.X5Jobs,X5 Retail Group,1.8.0,16.0,✓,✓,233.2,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
X5 Run,,6759965433,ru.x5.X5Run,X5 Retail Group,1.0.46,16.6,✓,✓,63.3,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
X5 Ключ,,1608347582,ru.x5.key,X5 Retail Group,1.13.1,13.0,✓,✓,37.6,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
X5 Транспорт,,6784236043,ru.x5.transport.app.super,X5 Retail Group,26.9.3,16.6,✓,✓,119.4,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Yandex Browser for iPad,,574939428,ru.yandex.mobile.search.ipad,Direct Cursus Computer Systems Trading,25.07.1.357,15.0,✗,✓,372.4,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓
Yandex Cloud,,1515465314,ru.yandex.mobile.cloud,Direct Cursus Computer Systems Trading,1.8.6,15.0,✓,✓,29.7,28.08.2026,✓,✓,✗,✗,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✗,✗,✗,✗,✗,✓,✓,✗,✗
Yango Maps,,1665672451,com.yango.maps.ios,Direct Cursus Computer Systems Trading,30.6.2,17.0,✓,✓,815.7,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Авиасейлс Бизнес. Командировки,,6472999731,ru.aviasales.b2b,Go Travel Un Limited,1.4.5,15.0,✓,✓,52.8,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Авиасейлс — авиабилеты дешево,,498958864,ru.aviasales.app,Go Travel Un Limited,9.34,17.0,✓,✓,324.1,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
АВК Гид,Металлинвестбанк,6759909091,com.avkgrupp.gid,OOO AVK-GRUPP,6.23.0,15.5,✓,✓,199.5,02.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✗,✗,✗,✗,✗,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓
Азбука вкуса,,918296526,ru.av.vkusomania,Azbuka Vkusa ooo,4.74.0,15.0,✓,✓,153.1,14.09.2026,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✗,✓,✗,✗,✗,✗,✗,✗,✗,✓,✓,✗,✗,✗,✓,✓,✗,✗
Алиса AI: Нейросеть Яндекса,,6621272550,com.yandex.alice-app,Direct Cursus Computer Systems Trading,26.21.1,16.0,✓,✓,171.5,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✗,✗,✓,✓,✓,✓,✓,✓
Алмазная Миля,Авиокомпания АЛРОСА,6796619816,com.alrosa,Ruslan Grigorev,2.1.39,15.0,✓,✓,128.8,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✗,✗,✗,✗,✗,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓
Апельсин - сервис лояльности,,6504095929,org.kpl.loyalty,X5 Retail Group,1.15,15.0,✓,✓,66.1,14.09.2026,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Бак+Бонус,Бак+Бонус,6756371742,ru.bakbonus.appstarter,Artemij Kluchnikov,1.1.1,15.0,✓,✓,122.6,28.08.2026,✓,✗,✗,✗,✓,✗,✗,✗,✓,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
